Word,Count
profil,3
speknya,58
mewah,3
bodoh,6
marah,36
tidaaaak,1
martabat,1
luculucu,6
janggal,1
teleport,33
dutchman,1
berisik,23
wibawa,1
gen,5
unlock,29
fpsextreme,2
mentok,37
smoothextreme,8
kapan,8
logo,3
ngebut,6
barang,41
normalisasi,1
loadnya,56
fast,13
males,229
revive,6
terjun,3
lindung,1
malas,6
dll,153
antar,3
kostum,10
on,34
dibiarin,1
chiternya,3
kraftonnya,2
iphone,109
macet,1
ia,31
hemat,3
facebook,180
tekatekinya,2
anggap,5
operasi,3
sampah,4
kejadiankejadian,8
desain,6
frekuensi,22
mulus,4
renk,2
heal,10
singkir,4
boros,49
belas,6
reset,67
eliminasi,8
jengkel,26
gmnya,1
sopgan,1
gm,16
hancur,3
tampung,1
resource,210
terap,4
gerakangerakan,1
ingame,89
sekarat,7
healing,8
transaksi,2
api,1
capcha,3
bawa,3
chrome,10
didownload,81
instal,79
untung,3
ponselku,25
ipadview,1
pfs,1
zoomnya,4
lebar,3
op,1
recoil,46
lokasi,15
hacker,21
forceclose,1
lonjak,7
kutip,1
magazine,8
kumpul,1
msa,1
undang,1
tampak,6
duli,2
asik,19
booting,51
kooooonnntooolll,1
rangkum,1
outfit,12
terdownload,41
mendownloadnya,157
akurasi,3
gudang,3
youtube,163
buffering,11
komputer,22
mendung,4
badai,3
petir,4
regrafik,1
macammacamnya,1
kemudian,133
lulus,2
skill,100
dominator,21
deg,2
macam,36
promosi,1
kasihan,3
aldiawan,1
bolos,1
bambu,1
asah,9
ngerti,30
matchnya,30
gapapa,24
selfreviving,1
kenal,3
loh,1
sanggup,13
siput,3
sadar,12
nemu,4
diciken,1
net,2
blok,17
komando,1
militer,1
kesana,22
kemari,17
gelembung,1
inggris,8
infenite,1
nostalgia,3
kolaborasi,3
resident,10
evil,10
godzilla,18
tawa,2
karpet,9
worknya,1
ribut,2
berteletele,5
halah,1
jalin,2
seringseringlah,3
deathmatch,13
buggy,174
run,42
sebenernya,36
gede,120
lek,3
arcade,139
jaman,65
norak,19
color,2
ciriciri,7
zonazona,1
desak,1
sesuatu,55
peristiwa,1
hy,11
hukum,1
afk,60
fakta,23
ajar,3
masingmasing,55
mantap,1
puluh,14
huhhhhhhhhh,1
ratingnya,33
serangga,1
kit,5
spawn,47
island,36
kejar,2
sembarang,1
recolnya,1
syuting,4
anggur,5
ambruk,2
responsif,23
ip,14
gelincir,5
serang,3
spectator,36
classic,256
aimnya,12
diam,5
kaki,3
new,39
state,35
hang,47
buah,1
investasi,3
tpp,19
hacking,1
hero,7
cerita,6
kuning,2
cal,1
jawab,9
chimeraland,2
kangen,32
pula,110
sempit,6
gampang,24
lvnya,1
tank,9
lv,24
abis,72
fpp,101
conqueror,17
toprank,1
siasia,62
standar,7
hz,17
kotor,13
space,50
buangbuang,52
drastis,128
laporin,1
obbnya,9
speakernya,12
entertainer,1
sejati,8
jual,27
inventaris,1
pantul,1
speedtest,1
dioptimasi,69
wkwk,17
sunyi,8
nomer,12
rumput,2
cheatnya,35
keliar,48
xray,5
anti,19
diamond,59
aladdin,3
musnah,2
bobol,3
cit,7
png,1
nohhh,1
bahagia,3
pass,148
series,2
senggang,7
jamin,12
snap,27
dibanned,68
toksik,2
mute,9
editing,2
banned,72
chinese,1
tenten,16
gem,23
limit,5
telinga,3
giroskop,12
kamera,14
ledak,6
default,23
mesin,8
sendat,8
ibarat,26
atlas,1
didik,3
anak,18
usia,4
asu,24
doa,3
yaman,4
mogok,28
kebut,1
samak,5
aiponnya,1
malu,1
luting,2
sgen,1
relevan,8
